fullName,htmlUrl,apiUrl,description,language,stars,forks,archived,updatedAt,topics,searchQuery,pageStatus,pageVisitedAt,pageError
"databayt/hogwarts","https://github.com/databayt/hogwarts","https://api.github.com/repos/databayt/hogwarts","Educational automation streamlining operations for students, educators, and school leaders.","TypeScript","15","10","false","2026-08-13T07:17:16Z","authjs|automation|cloud|education|exam|finance|library|lms|multi-tenant|nextjs|saas|school|shadcn-ui|sis|sms|stripe","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:48.686Z",""
"ignaciobecher/ar-saas","https://github.com/ignaciobecher/ar-saas","https://api.github.com/repos/ignaciobecher/ar-saas","Generador de proyectos SaaS multi-tenant con NestJS y Next.js listo para producción.","TypeScript","13","1","false","2026-08-05T22:09:24Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:48.382Z",""
"KhaledSaeed18/team-flow","https://github.com/KhaledSaeed18/team-flow","https://api.github.com/repos/KhaledSaeed18/team-flow","TeamFlow is a multi-tenant SaaS-style Agile Workspace backend built with NestJS. It provides organization-based isolation, role-driven access control, project boards, task workflows, sprint management, and analytics.","TypeScript","13","0","false","2026-07-13T08:16:28Z","agile|authentication|backend|ci-cd|corn-job|docker|husky|jwt|multi-tenant|nestjs|nodejs|postgresql|prisma|resend|rest-api|role-based-access-control|security|swagger|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:49.610Z",""
"Hiberius/whatsapp-receptionist","https://github.com/Hiberius/whatsapp-receptionist","https://api.github.com/repos/Hiberius/whatsapp-receptionist","Open-source AI receptionist for WhatsApp. Books real appointments on Google Calendar, transcribes voice notes, escalates to a human. Multi-tenant Next.js 15 + Supabase + Claude SaaS starter, GDPR-first, self-hostable, MIT.","TypeScript","12","7","false","2026-08-13T05:26:47Z","ai|ai-agent|ai-receptionist|anthropic|appointments|booking|chatbot|claude|elevenlabs|gdpr|italy|multi-tenant|nextjs|open-source|saas-starter|self-hosted|stripe|supabase|typescript|whatsapp","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:49.257Z",""
"PkLavc/saas-backend-platform","https://github.com/PkLavc/saas-backend-platform","https://api.github.com/repos/PkLavc/saas-backend-platform","Production-ready Multi-Tenant SaaS Backend architected with NestJS and PostgreSQL. It features robust data isolation (row-level tenancy), RBAC security, JWT authentication, and background job processing with BullMQ. Demonstrates enterprise patterns for scalable Software-as-a-Service applications with clean architecture.","TypeScript","12","0","false","2026-06-30T16:45:40Z","api-design|backend-architecture|background-jobs|clean-architecture|distributed-systems|docker|enterprise-software|multi-tenancy|nestjs|postgresql|prisma-orm|rbac|saas|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:49.453Z",""
"sonnysangha/AI-Receptionist-Live-YouTube-Demo","https://github.com/sonnysangha/AI-Receptionist-Live-YouTube-Demo","https://api.github.com/repos/sonnysangha/AI-Receptionist-Live-YouTube-Demo","Multi-tenant AI receptionist / front-desk SaaS built live on YouTube with Next.js 16, Clerk (auth, orgs, billing), Convex, and ElevenLabs voice agents.","TypeScript","11","12","false","2026-08-10T13:49:10Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:49.200Z",""
"monlasan/Saasvite","https://github.com/monlasan/Saasvite","https://api.github.com/repos/monlasan/Saasvite","Open-source multi-tenant backend app built with AdonisJS and MongoDB 🍀.","TypeScript","11","2","false","2024-07-03T01:02:32Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:49.249Z",""
"ahliweb/awcms","https://github.com/ahliweb/awcms","https://api.github.com/repos/ahliweb/awcms","AWCMS — AhliWeb’s multi-tenant foundation platform for ERP and business solutions, built on Bun, Astro 7, and PostgreSQL with Row-Level Security (RLS), RBAC/ABAC, and an offline-first architecture.","TypeScript","11","4","false","2026-08-13T07:49:33Z","abac|astro|audit-log|bun|business-integration|cloudflare|erp|modular-monolith|multi-tenant|offline-first|postgresql|rls|saas|security|workflow-engine","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:49.183Z",""
"digimata/saasy","https://github.com/digimata/saasy","https://api.github.com/repos/digimata/saasy","Multi-tenant SaaS template.","TypeScript","10","0","false","2026-08-01T07:02:19Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:49.321Z",""
"victorpreston/multi-tenant-saas-gateway","https://github.com/victorpreston/multi-tenant-saas-gateway","https://api.github.com/repos/victorpreston/multi-tenant-saas-gateway","Multi-tenant saas api gateway for microservice orchestration and request routing.  Isolates tenant context, manages authentication, and provides production-grade, scalable SaaS infrastructure orchestration through Kubernetes and Terraform IaC","TypeScript","10","1","false","2026-08-12T02:33:07Z","api-gateway|auto-scaling|aws|cloud-native|docker|eks|gateway|infrastructure-as-code|k8s|kafaka|kubernetes|multi-tenant-saas-gateway|nestjs|postgresql|redis|terraform","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:49.385Z",""
